Country;Frequency Range;Allocations;Applications
"Sweden (PTS)";"50 - 52 MHz";"Amatörradio (Undantag från tillståndsplikt)";"#FF0000"
"Sweden (PTS)";"50.45375 - 50.46625 MHz";"Beacon - SK6EI/B - Skövde";"#FF0000"
"Sweden (PTS)";"51.54375 - 51.55625 MHz";"Link - SM6FZG - Göteborg - Göteborg / Guldheden";"#FF0000"
"Sweden (PTS)";"51.86375 - 51.87625 MHz";"Repeater - SK6RFQ - Göteborg - Göteborg / Guldheden - Repeater på 6m";"#FF0000"
"Sweden (PTS)";"52 - 68 MHz";"Radiobestämning (Undantag från tillståndsplikt, Not 1)";"#FFFFFF"
"Sweden (PTS)";"68 - 74.8 MHz";"PMR (ECC/DEC/(19)02)";"#4545FF"
"Sweden (PTS)";"68.20625 - 68.21875 MHz";"FRO Göteborg. Tölöberg - Göteborg - 73.5375";"#DBFFEC"
"Sweden (PTS)";"70.18125 - 70.19375 MHz";"Troligen ett Åkeri, hörs i Borås - Borås";"#DBFFEC"
"Sweden (PTS)";"73.00625 - 73.01875 MHz";"FRO Göteborg city - Göteborg - 68.0125";"#DBFFEC"
"Sweden (PTS)";"73.15625 - 73.16875 MHz";"Räddningstjänsten Storgöteborg - Göteborg - K:83";"#FFFFFF"
"Sweden (PTS)";"73.25625 - 73.26875 MHz";"Räddningstjänsten Storgöteborg - Göteborg - K:81 aktiv ? 2018";"#FFFFFF"
"Sweden (PTS)";"73.38125 - 73.39375 MHz";"Räddningstjänsten Storgöteborg - Göteborg - K:85";"#FFFFFF"
"Sweden (PTS)";"73.40625 - 73.41875 MHz";"Räddningstjänsten Storgöteborg - Göteborg - K:86";"#FFFFFF"
"Sweden (PTS)";"73.53125 - 73.54375 MHz";"FRO Göteborg syd - Göteborg - 73.0125";"#DBFFEC"
"Sweden (PTS)";"74.8 - 75.2 MHz";"Radionavigering för luftfart";"#00FF7F"
"Sweden (PTS)";"75.2 - 75.625 MHz";"PMR (ECC/DEC/(19)02)";"#4545FF"
"Sweden (PTS)";"75.625 - 77.475 MHz";"PMR (ECC/DEC/(19)02, Duplex: 80,625 - 82,475)";"#4545FF"
"Sweden (PTS)";"76.15625 - 76.16875 MHz";"Privat relästation Borås - Borås";"#FFFFFF"
"Sweden (PTS)";"77.475 - 80.625 MHz";"PMR (ECC/DEC/(19)02)";"#4545FF"
"Sweden (PTS)";"77.83125 - 77.84375 MHz";"Räddningstjänsten Göteborg - Göteborg";"#FFFFFF"
"Sweden (PTS)";"78.25625 - 78.26875 MHz";"Taxi Trollhättan - Trollhättan - K:21";"#FF0091"
"Sweden (PTS)";"78.30625 - 78.31875 MHz";"Rökdykare - Kungälv - K:25";"#FF0091"
"Sweden (PTS)";"78.35625 - 78.36875 MHz";"Ambulans - NÄL - Trollhättan - K:29";"#FF0091"
"Sweden (PTS)";"78.38125 - 78.39375 MHz";"Taxi - Vänersborg - K:31";"#91FF00"
"Sweden (PTS)";"78.43125 - 78.44375 MHz";"Skadeplatskanal - Kungälv - K:35";"#FF0091"
"Sweden (PTS)";"78.48125 - 78.49375 MHz";"Räddningstj. utlarmning - Skövde - K:39";"#FF0091"
"Sweden (PTS)";"78.58125 - 78.59375 MHz";"Ambulans O-län Norra - Hela länet - K:47";"#FF0091"
"Sweden (PTS)";"78.68125 - 78.69375 MHz";"Skadeplatskanal - Kungälv - K:55";"#FF0091"
