Country;Frequency Range;Allocations;Applications
"Sweden (PTS)";"434.73125 - 434.74375 MHz";"Repeater - SA6BXG/R - Kungälv - Kungälv / Romelanda";"#FF0000"
"Sweden (PTS)";"434.74375 - 434.75625 MHz";"Repeater - SK6DQ/R - Älvängen";"#FF0000"
"Sweden (PTS)";"434.76875 - 434.78125 MHz";"SK6IF/R , D-star. - Kungshamn - K:RU382.";"#FF0000"
"Sweden (PTS)";"434.78125 - 434.79375 MHz";"Repeater - SK6AG - Guldheden";"#FF0000"
"Sweden (PTS)";"434.79375 - 434.80625 MHz";"Repeater SK6RBS (mer ...) - Borås - K:RU384";"#FF0000"
"Sweden (PTS)";"434.81875 - 434.83125 MHz";"Repeater - SK6EI/R - Skövde";"#FF0000"
"Sweden (PTS)";"434.84375 - 434.85625 MHz";"SK6TY (mer ...) - Vårgårda - K:RU388";"#FF0000"
"Sweden (PTS)";"434.86875 - 434.88125 MHz";"SK6DW/R -2MHz - Trollhättan - K:RU390";"#FF0000"
"Sweden (PTS)";"434.88125 - 434.89375 MHz";"Repeater - SA6ATX/R - Dingle ";"#FF0000"
"Sweden (PTS)";"434.89375 - 434.90625 MHz";"SK6NL/R (mer ...) - Kungälv - K:RU392";"#FF0000"
"Sweden (PTS)";"434.91875 - 434.93125 MHz";"Repeater - SA6AR/R - Angered";"#FF0000"
"Sweden (PTS)";"434.94375 - 434.95625 MHz";"Repeater - SM6CYJ/R - Kinnekulle";"#FF0000"
"Sweden (PTS)";"434.96875 - 434.98125 MHz";"Repeater - SK6RDG - Guldheden";"#FF0000"
"Sweden (PTS)";"434.98125 - 434.99375 MHz";"Repeater - SA6APY - Skara";"#FF0000"
"Sweden (PTS)";"438 - 442 MHz";"Militär användning";"#90EE90"
"Sweden (PTS)";"442 - 444 MHz";"PMR (ECC/DEC/(19)02, Duplex: 448 - 450)";"#4545FF"
"Sweden (PTS)";"444 - 444.5875 MHz";"Militär användning";"#90EE90"
"Sweden (PTS)";"444.5875 - 446 MHz";"PMR (ECC/DEC/(19)02)";"#4545FF"
"Sweden (PTS)";"445.475 - 445.4875 MHz";"Euromaint Rail - Göteborg";"#FFFFFF"
"Sweden (PTS)";"446 - 446.2 MHz";"PMR 446 (Undantag från tillståndsplikt, Not 1)";"#4545FF"
"Sweden (PTS)";"446.2 - 448 MHz";"PMR (ECC/DEC/(19)02)";"#4545FF"
"Sweden (PTS)";"446.74375 - 446.75625 MHz";"Eventsäkerhet (mer ...) - Borås";"#FFFFFF"
"Sweden (PTS)";"447.31875 - 447.33125 MHz";"BORÅS STAD - Borås";"#FFFFFF"
"Sweden (PTS)";"448 - 450 MHz";"PMR (ECC/DEC/(19)02, Duplex: 442 - 444)";"#4545FF"
"Sweden (PTS)";"448.16875 - 448.18125 MHz";"Borås Energi och Miljö - Borås";"#FFFFFF"
"Sweden (PTS)";"450 - 452.5 MHz";"PMR (ECC/DEC/(19)02, Duplex: 460 - 462,5)";"#4545FF"
"Sweden (PTS)";"452.5 - 457.5 MHz";"MFCN (Blocktillstånd, Duplex: 462,5 - 467,5)";"#FFE600"
"Sweden (PTS)";"457.5 - 460 MHz";"PMR (ECC/DEC/(19)02, Duplex: 467,5 - 470)";"#4545FF"
"Sweden (PTS)";"460 - 462.5 MHz";"PMR (ECC/DEC/(19)02, Duplex: 450 - 452,5)";"#4545FF"
"Sweden (PTS)";"460.14375 - 460.15625 MHz";"Liseberg - Göteborg";"#FFFFFF"
"Sweden (PTS)";"460.99375 - 461.00625 MHz";"Securitas - Göteborg";"#D00098"
"Sweden (PTS)";"462.21875 - 462.23125 MHz";"Sveriges radio SR - Göteborg - K:Kanal 91";"#FFFFFF"
"Sweden (PTS)";"462.5 - 467.5 MHz";"MFCN (Blocktillstånd, Duplex: 452,5 - 457,5)";"#FFE600"
"Sweden (PTS)";"467.5 - 470 MHz";"PMR (ECC/DEC/(19)02, Duplex: 457,5 - 460)";"#4545FF"
"Sweden (PTS)";"468.31875 - 468.33125 MHz";"Oslotåget - Hela länet";"#FFFFFF"
"Sweden (PTS)";"468.34375 - 468.35625 MHz";"Tåget Oslo-GBG - Hela länet";"#FFFFFF"
"Sweden (PTS)";"468.36875 - 468.38125 MHz";"Tåget Oslo-GBG - Hela länet";"#FFFFFF"
"Sweden (PTS)";"468.39375 - 468.40625 MHz";"Tåget Oslo-GBG - Hela länet";"#FFFFFF"
"Sweden (PTS)";"468.41875 - 468.43125 MHz";"Tåget Oslo-GBG - Hela länet";"#FFFFFF"
"Sweden (PTS)";"468.44375 - 468.45625 MHz";"Tåget Oslo-GBG - Hela länet";"#FFFFFF"
"Sweden (PTS)";"469.54375 - 469.55625 MHz";"NEVS - Digitaltrafik - Trollhättan - Digital trafik inom NEVS område";"#FFFFFF"
"Sweden (PTS)";"470 - 694 MHz";"Rundradio (DVB-T) (Även DVB-T2, Band IV/V, kanal 21-48, GE06)";"#FFE55C"
"Sweden (PTS)";"694 - 862 MHz";"MFCN (Blocktillstånd, Undantag från tillståndsplikt)";"#FFE600"
"Sweden (PTS)";"862 - 868.6 MHz";"Allmän kortdistansradio (Undantag från tillståndsplikt, Not 1)";"#006179"
"Sweden (PTS)";"868.6 - 869.7 MHz";"Larmöverföring (Undantag från tillståndsplikt, Not 1)";"#D00098"
"Sweden (PTS)";"869.7 - 870 MHz";"Allmän kortdistansradio (Undantag från tillståndsplikt, Not 1)";"#006179"
"Sweden (PTS)";"870 - 874.4 MHz";"Allmän kortdistansradio (Beslut (EU) 2018/1538, i lydelsen enligt beslut (EU)...";"#006179"
"Sweden (PTS)";"874.4 - 880 MHz";"Mobil radio för järnväg (RMR) (Beslut (EU) 2021/1730, ECC/DEC/(20)02, Duplex:...";"#FFD500"
"Sweden (PTS)";"880 - 915 MHz";"MFCN (Blocktillstånd, Undantag från tillståndsplikt, Duplex: 925 - 960)";"#FFE600"
"Sweden (PTS)";"915 - 919.4 MHz";"Allmän kortdistansradio (Beslut (EU) 2018/1538, i lydelsen enligt beslut (EU)...";"#006179"
"Sweden (PTS)";"919.4 - 925 MHz";"Mobil radio för järnväg (RMR) (Beslut (EU) 2021/1730, ECC/DEC/(20)02, Duplex:...";"#FFD500"
"Sweden (PTS)";"925 - 960 MHz";"MFCN (Blocktillstånd, Undantag från tillståndsplikt, Duplex: 880 - 915)";"#FFE600"
"Sweden (PTS)";"960 - 1026 MHz";"Radionavigering för luftfart (DME)";"#00FF7F"
"Sweden (PTS)";"1026 - 1034 MHz";"Luftfartsradio (SSR) (Duplex: 1086 - 1094)";"#5D88FF"
"Sweden (PTS)";"1034 - 1086 MHz";"Radionavigering för luftfart (DME)";"#00FF7F"
"Sweden (PTS)";"1086 - 1094 MHz";"Luftfartsradio (SSR) (Duplex: 1026 - 1034)";"#5D88FF"
"Sweden (PTS)";"1094 - 1215 MHz";"Radionavigering för luftfart (DME)";"#00FF7F"
"Sweden (PTS)";"1215 - 1237 MHz";"Satellitnavigerings-system (GPS, ECC/REC/(10)02)";"#FFFF00"
"Sweden (PTS)";"1237 - 1240 MHz";"Satellitnavigerings-system (GLONASS, ECC/REC/(10)02)";"#FF9A00"
"Sweden (PTS)";"1240 - 1300 MHz";"Amatörradio (Undantag från tillståndsplikt)";"#FF0000"
"Sweden (PTS)";"1296.79375 - 1296.80625 MHz";"Beacon - SK6MHI - Hönö";"#FF0000"
"Sweden (PTS)";"1296.79875 - 1296.81125 MHz";"Beacon - SK6UHI - Tjörn";"#FF0000"
"Sweden (PTS)";"1297.01875 - 1297.03125 MHz";"Repeater - Alingsås på 23cm - Alingsås - SK6RIC";"#FF0000"
"Sweden (PTS)";"1297.14375 - 1297.15625 MHz";"Repeater - Göteborg på 23cm - Göteborg - (Guldheden) - infrekvens 1291.150 MHz";"#FF0000"
"Sweden (PTS)";"1300 - 1400 MHz";"Militär användning (ECC/DEC/(11)01)";"#90EE90"
"Sweden (PTS)";"1400 - 1427 MHz";"Jordutforskning via satellit (ECC/DEC/(11)01)";"#00FFFF"
"Sweden (PTS)";"1427 - 1518 MHz";"MFCN (Beslut (EU) 2015/750, i lydelsen enligt beslut (EU) 2018/661, ECC/DEC/(...";"#FFE600"
"Sweden (PTS)";"1518 - 1525 MHz";"Satellit (MSS nedlänk, ECC/DEC/(04)09)";"#00FFFF"
"Sweden (PTS)";"1525 - 1544 MHz";"Satellit (MSS nedlänk, ECC/DEC/(12)01)";"#00FFFF"
"Sweden (PTS)";"1544 - 1545 MHz";"Sjöfartsradio (Nöd- och säkerhetstrafik)";"#FF0091"
"Sweden (PTS)";"1545 - 1559 MHz";"Satellit (MSS nedlänk, ECC/DEC/(12)01)";"#00FFFF"
"Sweden (PTS)";"1559 - 1563 MHz";"Satellitnavigerings-system (GALILEO, ECC/REC/(10)02)";"#5D88FF"
"Sweden (PTS)";"1563 - 1587 MHz";"Satellitnavigerings-system (GPS, ECC/REC/(10)02)";"#FFFF00"
"Sweden (PTS)";"1587 - 1591 MHz";"Satellitnavigerings-system (GALILEO, ECC/REC/(10)02)";"#5D88FF"
"Sweden (PTS)";"1591 - 1610 MHz";"Satellitnavigerings-system (GLONASS, ECC/REC/(10)02)";"#FF9A00"
"Sweden (PTS)";"1610 - 1645.5 MHz";"Jordstationer (mobila satellitsystem) (MSS upplänk, Undantag från tillståndsp...";"#00FFFF"
"Sweden (PTS)";"1645.5 - 1646.5 MHz";"Sjöfartsradio (Nöd- och säkerhetstrafik)";"#FF0091"
"Sweden (PTS)";"1646.5 - 1660.5 MHz";"Jordstationer (mobila satellitsystem) (MSS upplänk, Undantag från tillståndsp...";"#00FFFF"
"Sweden (PTS)";"1660.5 - 1668 MHz";"Radioastronomi (Onsala rymdobservatorium)";"#FFFF00"
"Sweden (PTS)";"1668 - 1670 MHz";"Jordstationer (mobila satellitsystem) (MSS upplänk)";"#00FFFF"
"Sweden (PTS)";"1670 - 1675 MHz";"Jordstationer (mobila satellitsystem) (MSS upplänk, ECC/DEC/(04)09)";"#00FFFF"
"Sweden (PTS)";"1675 - 1710 MHz";"Meteorologi via satellit";"#00FFFF"
"Sweden (PTS)";"1710 - 1785 MHz";"MFCN (Blocktillstånd, Undantag från tillståndsplikt, Duplex: 1805 - 1880)";"#FFE600"
"Sweden (PTS)";"1785 - 1804.8 MHz";"Ljudöverföring (Undantag från tillståndsplikt, Not 1)";"#FFBC00"
"Sweden (PTS)";"1804.8 - 1805 MHz";"Ej tilldelat";"#FFFFFF"
"Sweden (PTS)";"1805 - 1880 MHz";"MFCN (Blocktillstånd, Undantag från tillståndsplikt, Duplex: 1710 - 1785)";"#FFE600"
"Sweden (PTS)";"1880 - 1900 MHz";"DECT (Undantag från tillståndsplikt, Direktiv 91/287/EEG)";"#1A00FF"
"Sweden (PTS)";"1900 - 1920 MHz";"MFCN (Blocktillstånd, ECC/DEC/(22)01)";"#FFE600"
"Sweden (PTS)";"1920 - 1980 MHz";"MFCN (Blocktillstånd, Undantag från tillståndsplikt, Duplex: 2110 - 2170)";"#FFE600"
"Sweden (PTS)";"1980 - 2010 MHz";"Jordstationer (mobila satellitsystem) (MSS upplänk, Blocktillstånd)";"#00FFFF"
"Sweden (PTS)";"2010 - 2025 MHz";"Video PMSE (Beslut (EU) 2016/339)";"#FFBC00"
"Sweden (PTS)";"2025 - 2110 MHz";"Militär användning";"#90EE90"
"Sweden (PTS)";"2110 - 2170 MHz";"MFCN (Blocktillstånd, Undantag från tillståndsplikt, Duplex: 1920 - 1980)";"#FFE600"
"Sweden (PTS)";"2170 - 2200 MHz";"Satellit (MSS nedlänk, Blocktillstånd)";"#00FFFF"
"Sweden (PTS)";"2200 - 2300 MHz";"Militär användning";"#90EE90"
"Sweden (PTS)";"2300 - 2380 MHz";"MFCN (Blocktillstånd, ECC/DEC/(14)02)";"#FFE600"
"Sweden (PTS)";"2320.79375 - 2320.80625 MHz";"Beacon - SK6MHI - Göteborg";"#FF0000"
"Sweden (PTS)";"2380 - 2400 MHz";"MFCN (ECC/DEC/(14)02, ECC/DEC/(22)01)";"#FFE600"
"Sweden (PTS)";"2400 - 2450 MHz";"Amatörradio (Undantag från tillståndsplikt)";"#FF0000"
"Sweden (PTS)";"2402 - 2422 MHz";"WiFi 2.4G Ch 1 (2412 MHz)";"#006179"
"Sweden (PTS)";"2427 - 2447 MHz";"WiFi 2.4G Ch 6 (2437 MHz)";"#009980"
"Sweden (PTS)";"2450 - 2483.5 MHz";"WiFi 2.4 GHz (Ch 1-13, DFS-fri)";"#009980"
"Sweden (PTS)";"2452 - 2472 MHz";"WiFi 2.4G Ch 11 (2462 MHz)";"#006179"
"Sweden (PTS)";"2483.5 - 2500 MHz";"Satellit (MSS nedlänk, ECC/DEC/(09)02)";"#00FFFF"
"Sweden (PTS)";"2500 - 2690 MHz";"MFCN (Blocktillstånd, Undantag från tillståndsplikt)";"#FFE600"
"Sweden (PTS)";"2690 - 2700 MHz";"Radioastronomi (Onsala rymdobservatorium)";"#FFFF00"
"Sweden (PTS)";"2700 - 2900 MHz";"Radionavigering för luftfart";"#00FF7F"
"Sweden (PTS)";"2900 - 3100 MHz";"Sjöfartsradar (Undantag från tillståndsplikt)";"#04B704"
"Sweden (PTS)";"3100 - 3400 MHz";"Militär användning";"#90EE90"
"Sweden (PTS)";"3400 - 3720 MHz";"MFCN (Blocktillstånd, Beslut 2008/411/EG, i lydelsen enligt beslut (EU) 2019/...";"#FFE600"
"Sweden (PTS)";"3720 - 3800 MHz";"MFCN (Blocktillstånd (lokala tillstånd), Beslut 2008/411/EG, i lydelsen enlig...";"#FFE600"
"Sweden (PTS)";"3800 - 4200 MHz";"MFCN (ECC/DEC/(24)01)";"#FFE600"
"Sweden (PTS)";"4200 - 4400 MHz";"Mobil luftfartsradio (WAIC)";"#5D88FF"
"Sweden (PTS)";"4400 - 4500 MHz";"Militär användning";"#90EE90"
"Sweden (PTS)";"4500 - 4800 MHz";"Satellit (FSS nedlänk, RR AP30B)";"#00FFFF"
"Sweden (PTS)";"4800 - 4990 MHz";"Militär användning";"#90EE90"
"Sweden (PTS)";"4990 - 5000 MHz";"Radioastronomi (Onsala rymdobservatorium)";"#FFFF00"
"Sweden (PTS)";"5000 - 5030 MHz";"Radionavigering för luftfart";"#00FF7F"
"Sweden (PTS)";"5030 - 5150 MHz";"Luftfartsradio (MLS)";"#5D88FF"
"Sweden (PTS)";"5150 - 5250 MHz";"WiFi 5G UNII-1 DFS-fri (Ch 36-48)";"#009980"
"Sweden (PTS)";"5170 - 5190 MHz";"WiFi 5G Ch 36 DFS-fri (5180 MHz)";"#009980"
"Sweden (PTS)";"5190 - 5210 MHz";"WiFi 5G Ch 40 DFS-fri (5200 MHz)";"#006179"
"Sweden (PTS)";"5210 - 5230 MHz";"WiFi 5G Ch 44 DFS-fri (5220 MHz)";"#009980"
"Sweden (PTS)";"5230 - 5250 MHz";"WiFi 5G Ch 48 DFS-fri (5240 MHz)";"#006179"
"Sweden (PTS)";"5250 - 5270 MHz";"WiFi 5G Ch 52 DFS (5260 MHz)";"#009980"
"Sweden (PTS)";"5250 - 5350 MHz";"WiFi 5G UNII-2 DFS (Ch 52-64)";"#006179"
"Sweden (PTS)";"5270 - 5290 MHz";"WiFi 5G Ch 56 DFS (5280 MHz)";"#006179"
"Sweden (PTS)";"5290 - 5310 MHz";"WiFi 5G Ch 60 DFS (5300 MHz)";"#009980"
"Sweden (PTS)";"5310 - 5330 MHz";"WiFi 5G Ch 64 DFS (5320 MHz)";"#006179"
"Sweden (PTS)";"5350 - 5460 MHz";"Jordutforskning via satellit (Copernicus)";"#00FFFF"
"Sweden (PTS)";"5460 - 5470 MHz";"Radionavigering för luftfart";"#00FF7F"
"Sweden (PTS)";"5470 - 5650 MHz";"WiFi 5G UNII-2ext DFS (Ch 100-144)";"#006179"
"Sweden (PTS)";"5490 - 5510 MHz";"WiFi 5G Ch 100 DFS (5500 MHz)";"#009980"
"Sweden (PTS)";"5510 - 5530 MHz";"WiFi 5G Ch 104 DFS (5520 MHz)";"#006179"
"Sweden (PTS)";"5530 - 5550 MHz";"WiFi 5G Ch 108 DFS (5540 MHz)";"#009980"
"Sweden (PTS)";"5550 - 5570 MHz";"WiFi 5G Ch 112 DFS (5560 MHz)";"#006179"
"Sweden (PTS)";"5570 - 5590 MHz";"WiFi 5G Ch 116 DFS (5580 MHz)";"#009980"
"Sweden (PTS)";"5590 - 5610 MHz";"WiFi 5G Ch 120 DFS (5600 MHz)";"#006179"
"Sweden (PTS)";"5610 - 5630 MHz";"WiFi 5G Ch 124 DFS (5620 MHz)";"#009980"
"Sweden (PTS)";"5630 - 5650 MHz";"WiFi 5G Ch 128 DFS (5640 MHz)";"#006179"
"Sweden (PTS)";"5650 - 5670 MHz";"WiFi 5G Ch 132 DFS (5660 MHz)";"#009980"
"Sweden (PTS)";"5650 - 5850 MHz";"Amatörradio (Undantag från tillståndsplikt)";"#FF0000"
"Sweden (PTS)";"5670 - 5690 MHz";"WiFi 5G Ch 136 DFS (5680 MHz)";"#006179"
"Sweden (PTS)";"5690 - 5710 MHz";"WiFi 5G Ch 140 DFS (5700 MHz)";"#009980"
"Sweden (PTS)";"5710 - 5730 MHz";"WiFi 5G Ch 144 DFS (5720 MHz)";"#006179"
"Sweden (PTS)";"5760.79375 - 5760.80625 MHz";"Beacon - SK6MHI - Göteborg";"#FF0000"
"Sweden (PTS)";"5850 - 5855 MHz";"Allmän kortdistansradio (Undantag från tillståndsplikt, Not 1)";"#006179"
"Sweden (PTS)";"5855 - 5875 MHz";"ITS (Undantag från tillståndsplikt, Not 1)";"#91FF00"
"Sweden (PTS)";"5875 - 5945 MHz";"Jordstationer (fasta satellitsystem) (FSS upplänk, ECC/DEC/(05)09)";"#00FFFF"
"Sweden (PTS)";"5945 - 5965 MHz";"WiFi 6E Ch 1 DFS-fri (5955 MHz)";"#009980"
"Sweden (PTS)";"5945 - 6425 MHz";"WiFi 6E UNII-5 DFS-fri (Ch 1-93)";"#009980"
"Sweden (PTS)";"5965 - 5985 MHz";"WiFi 6E Ch 5 DFS-fri (5975 MHz)";"#006179"
"Sweden (PTS)";"5985 - 6005 MHz";"WiFi 6E Ch 9 DFS-fri (5995 MHz)";"#009980"
"Sweden (PTS)";"6005 - 6025 MHz";"WiFi 6E Ch 13 DFS-fri (6015 MHz)";"#006179"
"Sweden (PTS)";"6025 - 6045 MHz";"WiFi 6E Ch 17 DFS-fri (6035 MHz)";"#009980"
"Sweden (PTS)";"6045 - 6065 MHz";"WiFi 6E Ch 21 DFS-fri (6055 MHz)";"#006179"
"Sweden (PTS)";"6065 - 6085 MHz";"WiFi 6E Ch 25 DFS-fri (6075 MHz)";"#009980"
"Sweden (PTS)";"6085 - 6105 MHz";"WiFi 6E Ch 29 DFS-fri (6095 MHz)";"#006179"
"Sweden (PTS)";"6105 - 6125 MHz";"WiFi 6E Ch 33 DFS-fri (6115 MHz)";"#009980"
"Sweden (PTS)";"6125 - 6145 MHz";"WiFi 6E Ch 37 DFS-fri (6135 MHz)";"#006179"
"Sweden (PTS)";"6145 - 6165 MHz";"WiFi 6E Ch 41 DFS-fri (6155 MHz)";"#009980"
"Sweden (PTS)";"6165 - 6185 MHz";"WiFi 6E Ch 45 DFS-fri (6175 MHz)";"#006179"
"Sweden (PTS)";"6185 - 6205 MHz";"WiFi 6E Ch 49 DFS-fri (6195 MHz)";"#009980"
"Sweden (PTS)";"6205 - 6225 MHz";"WiFi 6E Ch 53 DFS-fri (6215 MHz)";"#006179"
"Sweden (PTS)";"6225 - 6245 MHz";"WiFi 6E Ch 57 DFS-fri (6235 MHz)";"#009980"
"Sweden (PTS)";"6245 - 6265 MHz";"WiFi 6E Ch 61 DFS-fri (6255 MHz)";"#006179"
"Sweden (PTS)";"6265 - 6285 MHz";"WiFi 6E Ch 65 DFS-fri (6275 MHz)";"#009980"
"Sweden (PTS)";"6285 - 6305 MHz";"WiFi 6E Ch 69 DFS-fri (6295 MHz)";"#006179"
"Sweden (PTS)";"6305 - 6325 MHz";"WiFi 6E Ch 73 DFS-fri (6315 MHz)";"#009980"
"Sweden (PTS)";"6325 - 6345 MHz";"WiFi 6E Ch 77 DFS-fri (6335 MHz)";"#006179"
"Sweden (PTS)";"6345 - 6365 MHz";"WiFi 6E Ch 81 DFS-fri (6355 MHz)";"#009980"
"Sweden (PTS)";"6365 - 6385 MHz";"WiFi 6E Ch 85 DFS-fri (6375 MHz)";"#006179"
"Sweden (PTS)";"6385 - 6405 MHz";"WiFi 6E Ch 89 DFS-fri (6395 MHz)";"#009980"
"Sweden (PTS)";"6405 - 6425 MHz";"WiFi 6E Ch 93 DFS-fri (6415 MHz)";"#006179"
"Sweden (PTS)";"6425 - 6725 MHz";"Jordstationer (fasta satellitsystem) (FSS upplänk, ECC/DEC/(05)09)";"#00FFFF"
"Sweden (PTS)";"6725 - 7000 MHz";"Jordutforskning via satellit (Användning över hav)";"#00FFFF"
"Sweden (PTS)";"10368.79375 - 10368.80625 MHz";"Beacon - SK6YH/B - Göteborg";"#FF0000"
"Sweden (PTS)";"10368.80175 - 10368.81425 MHz";"Beacon - SK6YH/B - Göteborg";"#FF0000"
"Sweden (PTS)";"10368.80375 - 10368.81625 MHz";"Beacon - SK6YH/B - Göteborg";"#FF0000"
"Sweden (PTS)";"10368.82875 - 10368.84125 MHz";"Beacon - SK6WW/B - Karlsborg - Karlsborg / Vaberget";"#FF0000"
"Sweden (PTS)";"24048.79375 - 24048.80625 MHz";"Beacon - SK6MHI - Göteborg";"#FF0000"
"Sweden (PTS)";"24048.87675 - 24048.88925 MHz";"Beacon - SK6SHG - Tjörn";"#FF0000"
